hora_utc,estacion,mm
2026-09-21 14:00,curinanco,0.0
2026-09-21 14:00,islateja,0.0
2026-09-21 14:00,las_lomas,0.0
2026-09-21 14:00,llancahue,0.0
2026-09-21 14:00,pichoy,0.0
2026-09-21 15:00,austral,0.0
2026-09-21 15:00,chaihuin,0.2
2026-09-21 15:00,corral,0.3
2026-09-21 15:00,corral_essal,0.0
2026-09-21 15:00,curinanco,0.0
2026-09-21 15:00,islateja,0.0
2026-09-21 15:00,las_lomas,0.0
2026-09-21 15:00,llancahue,0.0
2026-09-21 15:00,pichoy,0.2
2026-09-21 16:00,austral,0.0
2026-09-21 16:00,chaihuin,0.3
2026-09-21 16:00,corral,0.0
2026-09-21 16:00,corral_essal,0.0
2026-09-21 16:00,curinanco,0.0
2026-09-21 16:00,islateja,0.0
2026-09-21 16:00,las_lomas,0.0
2026-09-21 16:00,llancahue,0.0
2026-09-21 16:00,pichoy,0.0
2026-09-21 17:00,austral,0.0
2026-09-21 17:00,chaihuin,0.1
2026-09-21 17:00,corral,0.0
2026-09-21 17:00,corral_essal,0.0
2026-09-21 17:00,curinanco,0.0
2026-09-21 17:00,islateja,0.0
2026-09-21 17:00,las_lomas,0.0
2026-09-21 17:00,llancahue,0.0
2026-09-21 17:00,pichoy,0.0
2026-09-21 18:00,austral,0.0
2026-09-21 18:00,chaihuin,0.0
2026-09-21 18:00,corral,0.0
2026-09-21 18:00,corral_essal,0.0
2026-09-21 18:00,curinanco,0.0
2026-09-21 18:00,islateja,0.0
2026-09-21 18:00,las_lomas,0.0
2026-09-21 18:00,llancahue,0.0
2026-09-21 18:00,pichoy,0.0
2026-09-21 19:00,austral,0.0
2026-09-21 19:00,chaihuin,0.0
2026-09-21 19:00,corral,0.0
2026-09-21 19:00,corral_essal,0.0
2026-09-21 19:00,curinanco,0.0
2026-09-21 19:00,islateja,0.0
2026-09-21 19:00,las_lomas,0.0
2026-09-21 19:00,llancahue,0.0
2026-09-21 19:00,pichoy,0.0
2026-09-21 20:00,austral,0.0
2026-09-21 20:00,chaihuin,0.0
2026-09-21 20:00,corral,0.0
2026-09-21 20:00,corral_essal,0.0
2026-09-21 20:00,curinanco,0.0
2026-09-21 20:00,islateja,0.0
2026-09-21 20:00,las_lomas,0.0
2026-09-21 20:00,llancahue,0.0
2026-09-21 20:00,pichoy,0.0
2026-09-21 21:00,austral,0.0
2026-09-21 21:00,chaihuin,0.0
2026-09-21 21:00,corral,0.0
2026-09-21 21:00,corral_essal,0.0
2026-09-21 21:00,curinanco,0.0
2026-09-21 21:00,islateja,0.0
2026-09-21 21:00,las_lomas,0.0
2026-09-21 21:00,llancahue,0.0
2026-09-21 21:00,pichoy,0.0
2026-09-21 22:00,austral,0.0
2026-09-21 22:00,chaihuin,0.0
2026-09-21 22:00,corral,0.0
2026-09-21 22:00,corral_essal,0.0
2026-09-21 22:00,curinanco,0.0
2026-09-21 22:00,islateja,0.0
2026-09-21 22:00,las_lomas,0.0
2026-09-21 22:00,llancahue,0.0
2026-09-21 22:00,pichoy,0.0
2026-09-21 23:00,austral,0.0
2026-09-21 23:00,chaihuin,0.0
2026-09-21 23:00,corral,0.0
2026-09-21 23:00,corral_essal,0.0
2026-09-21 23:00,curinanco,0.0
2026-09-21 23:00,islateja,0.0
2026-09-21 23:00,las_lomas,0.0
2026-09-21 23:00,llancahue,0.0
2026-09-21 23:00,pichoy,0.0
2026-09-22 00:00,austral,0.0
2026-09-22 00:00,chaihuin,0.0
2026-09-22 00:00,corral,0.0
2026-09-22 00:00,corral_essal,0.0
2026-09-22 00:00,curinanco,0.0
2026-09-22 00:00,islateja,0.0
2026-09-22 00:00,las_lomas,0.0
2026-09-22 00:00,llancahue,0.0
2026-09-22 00:00,pichoy,0.0
2026-09-22 01:00,austral,0.0
2026-09-22 01:00,chaihuin,0.0
2026-09-22 01:00,corral,0.0
2026-09-22 01:00,corral_essal,0.0
2026-09-22 01:00,curinanco,0.0
2026-09-22 01:00,islateja,0.0
2026-09-22 01:00,las_lomas,0.0
2026-09-22 01:00,llancahue,0.0
2026-09-22 01:00,pichoy,0.0
2026-09-22 02:00,austral,0.0
2026-09-22 02:00,chaihuin,0.0
2026-09-22 02:00,corral,0.0
2026-09-22 02:00,corral_essal,0.0
2026-09-22 02:00,curinanco,0.0
2026-09-22 02:00,islateja,0.0
2026-09-22 02:00,las_lomas,0.0
2026-09-22 02:00,llancahue,0.0
2026-09-22 02:00,pichoy,0.0
2026-09-22 03:00,austral,0.0
2026-09-22 03:00,chaihuin,0.0
2026-09-22 03:00,corral,0.0
2026-09-22 03:00,corral_essal,0.0
2026-09-22 03:00,curinanco,0.0
2026-09-22 03:00,islateja,0.0
2026-09-22 03:00,las_lomas,0.0
2026-09-22 03:00,llancahue,0.0
2026-09-22 03:00,pichoy,0.0
2026-09-22 04:00,austral,0.0
2026-09-22 04:00,chaihuin,0.0
2026-09-22 04:00,corral,0.0
2026-09-22 04:00,corral_essal,0.0
2026-09-22 04:00,curinanco,0.0
2026-09-22 04:00,islateja,0.0
